date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20170411,2017-04-11,2017,2,4,April,11,Tuesday,False
20170412,2017-04-12,2017,2,4,April,12,Wednesday,False
20170413,2017-04-13,2017,2,4,April,13,Thursday,False
20170414,2017-04-14,2017,2,4,April,14,Friday,False
20170415,2017-04-15,2017,2,4,April,15,Saturday,True
20170416,2017-04-16,2017,2,4,April,16,Sunday,True
20170417,2017-04-17,2017,2,4,April,17,Monday,False
20170418,2017-04-18,2017,2,4,April,18,Tuesday,False
20170419,2017-04-19,2017,2,4,April,19,Wednesday,False
20170420,2017-04-20,2017,2,4,April,20,Thursday,False
20170421,2017-04-21,2017,2,4,April,21,Friday,False
20170422,2017-04-22,2017,2,4,April,22,Saturday,True
20170423,2017-04-23,2017,2,4,April,23,Sunday,True
20170424,2017-04-24,2017,2,4,April,24,Monday,False
20170425,2017-04-25,2017,2,4,April,25,Tuesday,False
20170426,2017-04-26,2017,2,4,April,26,Wednesday,False
20170427,2017-04-27,2017,2,4,April,27,Thursday,False
20170428,2017-04-28,2017,2,4,April,28,Friday,False
20170429,2017-04-29,2017,2,4,April,29,Saturday,True
20170430,2017-04-30,2017,2,4,April,30,Sunday,True
20170501,2017-05-01,2017,2,5,May,1,Monday,False
20170502,2017-05-02,2017,2,5,May,2,Tuesday,False
20170503,2017-05-03,2017,2,5,May,3,Wednesday,False
20170504,2017-05-04,2017,2,5,May,4,Thursday,False
20170505,2017-05-05,2017,2,5,May,5,Friday,False
20170506,2017-05-06,2017,2,5,May,6,Saturday,True
20170507,2017-05-07,2017,2,5,May,7,Sunday,True
20170508,2017-05-08,2017,2,5,May,8,Monday,False
20170509,2017-05-09,2017,2,5,May,9,Tuesday,False
20170510,2017-05-10,2017,2,5,May,10,Wednesday,False
20170511,2017-05-11,2017,2,5,May,11,Thursday,False
20170512,2017-05-12,2017,2,5,May,12,Friday,False
20170513,2017-05-13,2017,2,5,May,13,Saturday,True
20170514,2017-05-14,2017,2,5,May,14,Sunday,True
20170515,2017-05-15,2017,2,5,May,15,Monday,False
20170516,2017-05-16,2017,2,5,May,16,Tuesday,False
20170517,2017-05-17,2017,2,5,May,17,Wednesday,False
20170518,2017-05-18,2017,2,5,May,18,Thursday,False
20170519,2017-05-19,2017,2,5,May,19,Friday,False
20170520,2017-05-20,2017,2,5,May,20,Saturday,True
20170521,2017-05-21,2017,2,5,May,21,Sunday,True
20170522,2017-05-22,2017,2,5,May,22,Monday,False
20170523,2017-05-23,2017,2,5,May,23,Tuesday,False
20170524,2017-05-24,2017,2,5,May,24,Wednesday,False
20170525,2017-05-25,2017,2,5,May,25,Thursday,False
20170526,2017-05-26,2017,2,5,May,26,Friday,False
20170527,2017-05-27,2017,2,5,May,27,Saturday,True
20170528,2017-05-28,2017,2,5,May,28,Sunday,True
20170529,2017-05-29,2017,2,5,May,29,Monday,False
20170530,2017-05-30,2017,2,5,May,30,Tuesday,False
20170531,2017-05-31,2017,2,5,May,31,Wednesday,False
20170601,2017-06-01,2017,2,6,June,1,Thursday,False
20170602,2017-06-02,2017,2,6,June,2,Friday,False
20170603,2017-06-03,2017,2,6,June,3,Saturday,True
20170604,2017-06-04,2017,2,6,June,4,Sunday,True
20170605,2017-06-05,2017,2,6,June,5,Monday,False
20170606,2017-06-06,2017,2,6,June,6,Tuesday,False
20170607,2017-06-07,2017,2,6,June,7,Wednesday,False
20170608,2017-06-08,2017,2,6,June,8,Thursday,False
20170609,2017-06-09,2017,2,6,June,9,Friday,False
20170610,2017-06-10,2017,2,6,June,10,Saturday,True
20170611,2017-06-11,2017,2,6,June,11,Sunday,True
20170612,2017-06-12,2017,2,6,June,12,Monday,False
20170613,2017-06-13,2017,2,6,June,13,Tuesday,False
20170614,2017-06-14,2017,2,6,June,14,Wednesday,False
20170615,2017-06-15,2017,2,6,June,15,Thursday,False
20170616,2017-06-16,2017,2,6,June,16,Friday,False
20170617,2017-06-17,2017,2,6,June,17,Saturday,True
20170618,2017-06-18,2017,2,6,June,18,Sunday,True
20170619,2017-06-19,2017,2,6,June,19,Monday,False
20170620,2017-06-20,2017,2,6,June,20,Tuesday,False
20170621,2017-06-21,2017,2,6,June,21,Wednesday,False
20170622,2017-06-22,2017,2,6,June,22,Thursday,False
20170623,2017-06-23,2017,2,6,June,23,Friday,False
20170624,2017-06-24,2017,2,6,June,24,Saturday,True
20170625,2017-06-25,2017,2,6,June,25,Sunday,True
20170626,2017-06-26,2017,2,6,June,26,Monday,False
20170627,2017-06-27,2017,2,6,June,27,Tuesday,False
20170628,2017-06-28,2017,2,6,June,28,Wednesday,False
20170629,2017-06-29,2017,2,6,June,29,Thursday,False
20170630,2017-06-30,2017,2,6,June,30,Friday,False
20170701,2017-07-01,2017,3,7,July,1,Saturday,True
20170702,2017-07-02,2017,3,7,July,2,Sunday,True
20170703,2017-07-03,2017,3,7,July,3,Monday,False
20170704,2017-07-04,2017,3,7,July,4,Tuesday,False
20170705,2017-07-05,2017,3,7,July,5,Wednesday,False
20170706,2017-07-06,2017,3,7,July,6,Thursday,False
